cid,BND_1,BND_2,BND_3,BND_4,BND_5,BND_6,BND_7,BND_8,BND_9,BND_10,BND_11,BND_12
1,416,367,604,491,1178,2524,2859,2842,3092,2962,2321,1268
2,463,645,972,1342,1750,2422,2702,2562,2811,3085,2822,1892
3,561,860,1230,1488,1956,2842,3151,3152,3561,3036,3339,2189
4,406,412,579,655,1078,1901,2128,2024,2368,2411,1839,1080
5,381,333,533,419,986,2347,2781,2480,2937,3045,2150,1116
